City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ostrovnoy,68.05,39.51,29.39,97,98,5.75,RU,1603330459
Mahébourg,-20.41,57.7,73.4,78,40,10.29,MU,1603330460
Qaanaaq,77.48,-69.36,20.17,85,100,6.58,GL,1603330460
Zhuhai,22.28,113.57,73.4,69,20,23.04,CN,1603330461
Cape Town,-33.93,18.42,59.0,87,0,14.99,ZA,1603330461
Atuona,-9.8,-139.03,77.92,72,0,16.26,PF,1603330461
Flinders,-34.58,150.86,75.0,72,75,8.05,AU,1603330462
Opuwo,-18.06,13.84,55.15,71,0,1.41,NA,1603330462
Tiksi,71.69,128.87,11.82,94,100,5.01,RU,1603330463
Pushkinskiye Gory,57.02,28.91,42.57,95,100,8.43,RU,1603330463
Aykhal,66.0,111.5,-2.2,84,75,2.24,RU,1603330464
Castro,-24.79,-50.01,58.5,95,21,8.77,BR,1603330464
Avarua,-21.21,-159.78,77.0,83,100,8.05,CK,1603330464
Saskylakh,71.92,114.08,6.04,94,8,7.45,RU,1603330351
Constitución,-35.33,-72.42,49.24,83,0,8.66,CL,1603330465
Albany,42.6,-73.97,66.0,84,100,2.95,US,1603330466
Vilyuysk,63.76,121.62,19.17,95,32,3.62,RU,1603330466
Ushuaia,-54.8,-68.3,50.0,53,75,10.29,AR,1603330334
Bambous Virieux,-20.34,57.76,73.4,78,40,10.29,MU,1603330467
Kodinsk,58.69,99.18,34.81,89,100,5.66,RU,1603330467
Teknāf,20.86,92.31,77.0,91,100,13.42,BD,1603330468
Busselton,-33.65,115.33,66.99,36,22,7.96,AU,1603330468
Ambon City,-3.7,128.18,87.8,66,40,3.36,ID,1603330441
Maragogi,-9.01,-35.22,75.97,88,4,8.14,BR,1603330308
Fallon,39.47,-118.78,71.6,28,20,6.93,US,1603330469
Kantang,7.41,99.52,84.0,100,75,3.87,TH,1603330470
Colonelganj,27.13,81.7,74.97,62,0,2.89,IN,1603330470
Punta Arenas,-53.15,-70.92,48.2,61,75,6.93,CL,1603330329
Rikitea,-23.12,-134.97,74.34,72,100,1.86,PF,1603330471
New Norfolk,-42.78,147.06,64.99,44,40,1.99,AU,1603330471
Gobabis,-22.45,18.97,71.02,21,17,18.43,NA,1603330472
Qingdao,36.1,120.37,57.0,50,0,2.24,CN,1603330472
Port Hardy,50.7,-127.42,46.4,75,20,6.93,CA,1603330203
Arman',59.7,150.17,34.07,78,96,6.89,RU,1603330473
Mamakan,57.82,114.0,27.7,92,98,4.94,RU,1603330473
Bethel,41.37,-73.41,64.99,93,90,4.7,US,1603330474
Charter Township of Clinton,42.59,-82.92,46.4,100,75,5.64,US,1603330474
Varhaug,58.61,5.65,53.01,99,100,1.99,NO,1603330475
Ayan,56.45,138.17,40.01,94,100,10.74,RU,1603330475
Mayor Pablo Lagerenza,-19.93,-60.77,75.42,73,2,2.39,PY,1603330475
Hermanus,-34.42,19.23,55.0,96,0,9.48,ZA,1603330525
Torbay,47.67,-52.73,46.99,93,90,10.29,CA,1603330526
Yellowknife,62.46,-114.35,24.8,79,75,16.11,CA,1603330526
Kruisfontein,-34.0,24.73,54.12,72,0,4.79,ZA,1603330527
Puerto Ayora,-0.74,-90.35,69.01,91,98,3.0,EC,1603330527
Rosita,13.93,-84.4,75.09,93,97,1.39,NI,1603330528
Beloha,-25.17,45.05,67.14,83,0,10.67,MG,1603330528
Port Elizabeth,-33.92,25.57,55.4,93,0,3.36,ZA,1603330528
Port Alfred,-33.59,26.89,61.68,81,0,9.17,ZA,1603330529
Garchitorena,13.88,123.69,86.43,69,60,3.87,PH,1603330529
Saint Paul Harbor,57.79,-152.41,44.6,56,1,14.99,US,1603330387
Mar del Plata,-38.0,-57.56,54.0,71,11,17.22,AR,1603330530
Tāybād,34.74,60.78,50.74,62,0,18.25,IR,1603330530
Cabo San Lucas,22.89,-109.91,86.0,62,5,3.36,MX,1603330531
Tiarei,-17.53,-149.33,80.6,69,75,9.17,PF,1603330531
Khatanga,71.97,102.5,4.59,91,60,8.63,RU,1603330532
Pisco,-13.7,-76.22,63.0,82,0,17.22,PE,1603330532
Kolyvan',55.31,82.74,46.4,45,100,13.42,RU,1603330532
Hofn,64.25,-15.21,35.8,82,52,8.68,IS,1603330533
Bontang,0.13,117.5,85.71,67,90,7.25,ID,1603330533
Sault Ste. Marie,46.52,-84.33,41.0,75,1,8.05,CA,1603330269
Zhigansk,66.77,123.37,16.92,96,86,2.1,RU,1603330534
Thompson,55.74,-97.86,24.8,92,90,3.36,CA,1603330379
Pevek,69.7,170.31,29.61,97,12,5.26,RU,1603330535
Nanortalik,60.14,-45.24,33.85,85,75,27.54,GL,1603330535
Bilibino,68.05,166.44,23.0,95,8,2.04,RU,1603330536
Dikson,73.51,80.55,23.79,95,99,12.17,RU,1603330536
Hambantota,6.12,81.12,77.0,100,40,4.7,LK,1603330537
Béja,36.73,9.18,69.8,35,20,5.82,TN,1603330537
Fortuna,40.6,-124.16,55.99,71,1,16.11,US,1603330387
Ponta do Sol,32.67,-17.1,62.6,67,75,6.93,PT,1603330538
Qasigiannguit,68.82,-51.19,28.4,74,92,4.7,GL,1603330538
Butaritari,3.07,172.79,81.95,71,7,8.93,KI,1603330412
Virginia Beach,36.85,-75.98,68.0,88,75,5.84,US,1603330528
Hobyo,5.35,48.53,79.39,84,0,17.6,SO,1603330539
Saint George,37.1,-113.58,78.8,10,1,1.16,US,1603330540
Pontes e Lacerda,-15.23,-59.34,76.91,69,2,0.94,BR,1603330354
Khor,47.89,134.95,50.61,62,98,11.5,RU,1603330372
Crotone,39.09,17.12,60.53,52,99,3.15,IT,1603330541
Bāglung,28.27,83.59,65.61,46,0,3.91,NP,1603330541
Raglan,-37.8,174.88,75.99,62,32,1.99,NZ,1603330542
Jamestown,42.1,-79.24,54.0,93,75,5.82,US,1603330345
Sur,22.57,59.53,73.89,67,3,8.16,OM,1603330543
Araouane,18.9,-3.53,85.57,17,0,5.93,ML,1603330543
Emerald,-23.53,148.17,84.99,45,40,13.87,AU,1603330543
Launceston,-41.45,147.17,66.0,67,90,4.7,AU,1603330544
Nikolskoye,59.7,30.79,39.2,93,90,6.71,RU,1603330544
Ambilobe,-13.2,49.05,69.87,78,8,3.36,MG,1603330545
Cidreira,-30.18,-50.21,65.59,89,100,17.85,BR,1603330545
Ternate,0.8,127.4,83.44,74,100,6.38,ID,1603330546
Tarauacá,-8.16,-70.77,73.24,95,63,1.61,BR,1603330398
Bella Vista,36.43,-94.23,72.0,73,1,5.82,US,1603330546
Xichang,27.9,102.26,56.05,66,57,1.68,CN,1603330547
Antakya,36.21,36.16,73.4,64,0,5.82,TR,1603330547
Najrān,17.49,44.13,62.6,21,100,4.7,SA,1603330548
Agirish,61.92,63.02,26.51,98,100,5.3,RU,1603330548
Mataura,-46.19,168.86,64.09,41,91,4.99,NZ,1603330549
Katsuura,35.13,140.3,66.2,59,75,6.93,JP,1603330410
Shalinskoye,55.72,93.76,44.1,59,100,14.63,RU,1603330549
Barrow,71.29,-156.79,33.8,92,90,17.22,US,1603330501
Sorong,-0.88,131.25,83.19,74,47,4.16,ID,1603330550
Kingston,18.0,-76.79,77.0,94,75,9.17,JM,1603330394
Ketchikan,55.34,-131.65,44.6,80,20,9.17,US,1603330433
Kapaa,22.08,-159.32,82.99,74,75,12.75,US,1603330340
Mbigou,-1.9,11.91,68.23,98,100,2.98,GA,1603330552
Yakeshi,49.28,120.73,25.0,91,0,10.38,CN,1603330552
Hilo,19.73,-155.09,84.2,58,1,9.17,US,1603330553
Whitehorse,60.72,-135.05,21.2,53,20,6.93,CA,1603330553
Bonthe,7.53,-12.51,77.56,86,100,3.44,SL,1603330554
Bara,10.37,10.73,73.26,80,28,2.77,NG,1603330554
Lompoc,34.64,-120.46,60.8,82,90,5.82,US,1603330309
Port Blair,11.67,92.75,82.13,82,84,11.97,IN,1603330555
Bredasdorp,-34.53,20.04,57.2,87,0,3.36,ZA,1603330350
Thinadhoo,0.53,72.93,82.85,75,57,14.41,MV,1603330306
Koumac,-20.57,164.28,80.29,59,54,4.07,NC,1603330556
Faanui,-16.48,-151.75,79.29,75,20,10.36,PF,1603330557
Xam Nua,20.42,104.04,68.86,58,12,2.73,LA,1603330557
East London,-33.02,27.91,62.74,81,0,11.16,ZA,1603330558
São Filipe,14.9,-24.5,80.71,75,46,4.74,CV,1603330558
Deputatsky,69.3,139.9,8.6,96,100,0.94,RU,1603330559
Chui,-33.7,-53.46,58.14,76,96,13.69,UY,1603330559
Sitka,57.05,-135.33,37.4,44,1,8.05,US,1603330560
Forio,40.73,13.86,59.0,72,5,1.52,IT,1603330560
Ruska Poliana,49.42,31.92,49.59,66,100,4.07,UA,1603330561
San Felipe,10.34,-68.74,73.83,90,6,2.66,VE,1603330432
Arraial do Cabo,-22.97,-42.03,72.75,88,31,13.15,BR,1603330292
Margate,51.38,1.39,55.99,81,0,7.0,GB,1603330364
Aklavik,68.22,-135.01,17.6,78,20,4.7,CA,1603330342
